12116,21,15
68200,8,0
20365,9,9
12210,51,35
86253,12,10
68148,8,6
11006,34,28
12000,7,7
10646,75,69
12032,30,29
12545,35,21
10344,21,16
12874,12,8
86029,8,2
12110,17,10
11176,7,7
66155,1,0
12855,19,16
20814,4,0
66096,6,4
86227,14,14
20948,35,33
10124,21,17
84124,5,4
10842,5,1
20547,11,11
13546,27,19
86068,19,14
20720,15,13
20918,17,14
12816,14,8
20576,20,19
68199,3,3
88123,80,70
64074,21,12
82073,13,9
66046,3,3
20636,11,11
21272,54,3
68110,40,28
10246,28,21
10442,2,1
12631,37,37
13524,2,2
78049,9,8
10374,10,7
86483,6,6
12470,12,10
76005,8,8
20646,51,50
13254,46,8
10018,6,4
84117,10,10
12446,58,37
11277,6,4
11865,55,49
13238,17,12
11821,56,44
13785,7,7
13022,17,17
88023,47,46
62017,2,1
66018,5,5
86243,15,4
11799,15,6
64027,30,23
13296,2,1
76006,3,3
11180,13,13
12519,27,21
10382,32,30
86256,6,4
11494,14,11
11428,70,64
60129,3,2
12554,41,31
10771,4,4
11011,81,6
76026,8,0
13382,4,4
12120,47,42
78072,14,5
86472,6,5
11768,55,46
88185,23,20
12101,42,21
60002,24,2
84026,10,10
11752,109,99
11393,53,49
10750,41,31
21498,16,15
12521,30,26
12314,7,5
10164,6,4
20844,18,18
10677,75,1
12525,4,3
66074,6,6
86387,9,7
60170,2,1
11860,15,13
13039,19,16
82121,6,5
72070,8,7
76016,11,9
78048,12,10
60219,14,9
20502,52,49
11816,64,61
10485,71,48
12926,90,65
11495,77,71
10334,8,3
88059,51,43
11875,48,42
88155,21,20
80171,11,7
13487,7,3
14870,20,17
80019,13,9
86428,4,3
21415,5,2
10650,24,18
86332,32,28
13565,8,8
60218,8,4
20706,17,15
10925,25,23
12253,13,9
12053,44,41
86439,6,5
10411,25,23
88113,12,12
74020,3,2
20796,27,24
90055,5,0
20463,15,15
70089,24,22
11711,28,25
13358,23,20
12327,16,15
12772,26,17
13376,40,26
12540,13,12
21436,18,17
78057,3,3
12930,14,14
86407,20,13
88109,40,37
13212,4,4
86059,17,13
66045,6,5
11100,51,4
10567,31,21
10419,3,0
66134,4,4
12236,20,0
11215,28,15
70046,34,21
86383,40,27
21339,20,18
84008,5,4
10615,24,21
68189,1,0
20749,26,26
10718,31,28
60093,25,0
11063,21,7
11228,59,41
12459,25,21
21085,22,19
21205,30,29
12331,27,24
78024,5,3
10960,6,6
14877,21,13
90011,127,45
11649,28,22
74077,15,14
10982,1,1
72010,29,28
60181,3,0
20432,22,1
11342,26,24
86127,7,7
62072,4,4
68195,2,1
12923,39,35
20405,8,7
60062,8,5
88025,39,39
13595,68,60
12414,19,18
11982,38,33
13086,38,31
86542,5,4
60153,2,2
11764,21,20
66144,12,9
12775,39,36
13106,33,28
10657,8,4
11674,104,85
11808,93,92
10952,11,11
13436,9,8
11437,47,27
21308,10,7
20468,110,107
80013,7,7
68089,43,41
21233,58,54
60284,20,13
62039,6,6
11111,44,14
84092,10,8
60274,18,12
80118,18,10
13309,14,14
10314,5,4
86075,7,7
20771,17,16
13370,9,8
82097,4,4
62070,5,0
86357,3,2
11002,27,20
13161,103,79
11149,29,27
86273,6,5
80151,25,22
90000,16,2
11745,40,39
11229,2,2
20101,31,30
10433,11,5
12065,24,23
76053,16,14
60165,5,4
12246,12,11
10169,78,65
88043,75,71
10540,10,6
20525,19,18
86076,5,4
68155,8,6
11949,13,8
86290,11,6
60023,29,19
10270,111,98
60215,6,2
20427,25,5
11575,26,20
60123,10,6
10211,16,9
11231,11,4
21303,17,17
20624,3,3
86398,15,9
84047,5,4
12625,6,6
86155,33,31
13190,5,5
12955,11,11
12237,5,4
60241,31,25
12567,16,13
88039,41,38
10438,111,59
12512,24,20
74081,12,7
76074,3,3
13566,15,11
11878,49,47
86004,10,7
78055,10,10
62027,6,5
21420,16,16
84090,3,1
11410,45,35
84043,19,17
13359,29,22
10121,30,23
86247,6,5
60304,7,6
86342,13,0
86545,1,0
12209,17,15
78012,6,6
10781,14,12
12807,17,14
76058,17,13
70079,4,3
80089,3,3
62015,14,13
86096,12,7
80113,13,9
12673,14,14
88091,30,29
74080,22,19
10355,8,6
80030,13,10
10220,86,69
86340,12,11
10828,32,23
13224,6,4
10245,18,1
20879,10,6
10221,48,37
60055,11,11
10753,3,3
13567,20,2
70029,15,9
86427,11,0
11240,39,0
12759,22,15
10707,63,45
86063,17,15
11676,92,82
74072,4,0
11416,25,18
80054,10,8
60202,16,13
10146,58,34
12815,5,2
64071,11,9
64124,55,51
84016,13,10
21604,16,14
86530,8,6
20354,33,31
10930,6,4
11877,76,72
86053,8,7
84075,2,2
12752,23,20
70071,5,1
12256,13,13
