10717,197,143
13550,362,306
ET048,155,133
E0118,32,24
10062,30,25
88039,36,35
20640,23,23
20469,472,429
82078,38,32
14793,30,27
ET079,18,7
21208,28,23
10077,52,44
21256,71,65
ET071,18,10
11792,630,592
21355,47,39
E0161,214,148
ET171,16,7
10594,21,17
10155,61,49
E0101,77,53
E0335,38,33
10125,22,15
20846,81,73
ET323,47,33
20984,33,31
21612,8,7
20756,29,26
20247,141,116
13385,19,16
10712,151,144
10513,34,27
11718,93,66
13202,37,33
E0333,33,22
10060,111,80
12617,30,24
10883,59,49
20445,79,71
ET070,89,56
10585,201,149
12965,90,79
12429,54,38
ET038,81,60
E0134,42,29
10757,77,59
21593,54,54
20907,31,29
ET051,123,87
E0416,92,20
10398,49,48
E0191,37,31
ET089,31,17
ET032,58,35
20638,383,363
21028,29,27
21571,12,8
20804,51,43
84121,21,17
E0143,58,44
13104,175,140
E0407,358,56
20624,75,52
E0096,68,53
E0391,123,1
ET393,25,16
ET053,239,108
21074,179,131
66118,23,20
ET386,42,30
20164,17,17
ET093,42,31
13453,16,12
70015,15,11
E0069,40,26
11839,173,130
E0363,38,22
20377,56,48
ET129,36,24
ET054,82,43
11367,130,118
ET207,18,8
E0389,39,33
12538,24,19
88005,37,37
78041,14,10
E0050,56,40
ET177,119,95
21228,48,42
E0307,114,60
E0412,216,7
86412,19,15
11580,26,25
ET148,25,12
10564,37,23
21202,18,14
20948,20,17
10470,155,136
ET195,42,23
20577,27,24
11816,29,28
E0158,86,61
13601,32,29
ET030,35,20
21030,48,39
21066,317,284
11062,79,72
10308,44,29
20229,113,111
20201,68,67
21197,10,6
20318,58,57
ET385,122,93
ET009,33,24
20061,36,35
20956,17,14
20465,45,44
90026,11,9
11959,16,14
21440,57,55
12006,78,68
E0079,86,51
13434,14,12
88051,29,24
E0404,203,32
14808,525,376
ET166,116,64
68133,12,10
20674,72,61
10900,182,117
ET192,13,10
88139,44,43
66043,31,28
E0408,359,71
20736,54,49
E0358,307,157
E0378,82,39
